ticker,date,open,high,low,close
GOOGL,2004-08-19,2.5,2.6,2.4,2.51
GOOGL,2004-08-20,2.53,2.73,2.52,2.71
GOOGL,2004-08-23,2.77,2.84,2.73,2.74
GOOGL,2004-08-24,2.78,2.79,2.59,2.62
GOOGL,2004-08-25,2.63,2.7,2.6,2.65
GOOGL,2004-08-26,2.63,2.7,2.62,2.7
GOOGL,2004-08-27,2.71,2.72,2.64,2.66
GOOGL,2004-08-30,2.63,2.64,2.55,2.55
GOOGL,2004-08-31,2.56,2.6,2.56,2.56
GOOGL,2004-09-01,2.57,2.58,2.49,2.51
GOOGL,2004-09-02,2.48,2.56,2.48,2.54
GOOGL,2004-09-03,2.53,2.55,2.49,2.5
GOOGL,2004-09-07,2.53,2.55,2.49,2.54
GOOGL,2004-09-08,2.52,2.58,2.52,2.56
GOOGL,2004-09-09,2.57,2.57,2.53,2.56
GOOGL,2004-09-10,2.54,2.67,2.54,2.64
GOOGL,2004-09-13,2.67,2.71,2.66,2.69
GOOGL,2004-09-14,2.69,2.8,2.67,2.79
GOOGL,2004-09-15,2.77,2.86,2.76,2.8
GOOGL,2004-09-16,2.81,2.9,2.79,2.85
GOOGL,2004-09-17,2.86,2.94,2.84,2.94
GOOGL,2004-09-20,2.93,3.04,2.92,2.99
GOOGL,2004-09-21,3.0,3.01,2.94,2.95
GOOGL,2004-09-22,2.94,2.99,2.92,2.96
GOOGL,2004-09-23,2.97,3.07,2.93,3.02
GOOGL,2004-09-24,3.03,3.11,3.0,3.0
GOOGL,2004-09-27,2.99,3.03,2.95,2.96
GOOGL,2004-09-28,3.04,3.19,3.01,3.17
GOOGL,2004-09-29,3.17,3.38,3.16,3.28
GOOGL,2004-09-30,3.25,3.31,3.23,3.24
GOOGL,2004-10-01,3.27,3.36,3.23,3.32
GOOGL,2004-10-04,3.38,3.43,3.35,3.38
GOOGL,2004-10-05,3.37,3.47,3.31,3.46
GOOGL,2004-10-06,3.44,3.46,3.4,3.43
GOOGL,2004-10-07,3.43,3.5,3.42,3.47
GOOGL,2004-10-08,3.47,3.5,3.43,3.45
GOOGL,2004-10-11,3.43,3.47,3.35,3.38
GOOGL,2004-10-12,3.36,3.44,3.34,3.44
GOOGL,2004-10-13,3.59,3.59,3.51,3.53
GOOGL,2004-10-14,3.53,3.56,3.47,3.55
GOOGL,2004-10-15,3.63,3.64,3.55,3.61
GOOGL,2004-10-18,3.58,3.73,3.53,3.73
GOOGL,2004-10-19,3.77,3.81,3.69,3.7
GOOGL,2004-10-20,3.7,3.73,3.49,3.52
GOOGL,2004-10-21,3.61,3.76,3.54,3.74
GOOGL,2004-10-22,4.27,4.51,4.11,4.32
GOOGL,2004-10-25,4.41,4.87,4.32,4.69
GOOGL,2004-10-26,4.66,4.82,4.5,4.55
GOOGL,2004-10-27,4.57,4.74,4.55,4.65
GOOGL,2004-10-28,4.67,4.86,4.64,4.84
GOOGL,2004-10-29,4.98,5.0,4.77,4.77
GOOGL,2004-11-01,4.84,4.95,4.79,4.91
GOOGL,2004-11-02,4.97,4.99,4.84,4.88
GOOGL,2004-11-03,4.96,5.05,4.77,4.8
GOOGL,2004-11-04,4.72,4.76,4.59,4.62
GOOGL,2004-11-05,4.55,4.56,4.22,4.24
GOOGL,2004-11-08,4.28,4.39,4.24,4.32
GOOGL,2004-11-09,4.36,4.38,4.14,4.22
GOOGL,2004-11-10,4.27,4.32,4.16,4.2
GOOGL,2004-11-11,4.23,4.6,4.19,4.58
GOOGL,2004-11-12,4.64,4.75,4.44,4.55
GOOGL,2004-11-15,4.52,4.71,4.47,4.63
GOOGL,2004-11-16,4.44,4.49,4.28,4.32
GOOGL,2004-11-17,4.23,4.44,4.23,4.32
GOOGL,2004-11-18,4.26,4.36,4.15,4.19
GOOGL,2004-11-19,4.23,4.25,4.17,4.24
GOOGL,2004-11-22,4.12,4.24,4.04,4.13
GOOGL,2004-11-23,4.2,4.28,4.17,4.19
GOOGL,2004-11-24,4.37,4.43,4.32,4.37
GOOGL,2004-11-26,4.4,4.51,4.39,4.49
GOOGL,2004-11-29,4.51,4.58,4.44,4.53
GOOGL,2004-11-30,4.52,4.58,4.51,4.55
GOOGL,2004-12-01,4.55,4.57,4.49,4.5
GOOGL,2004-12-02,4.5,4.54,4.47,4.49
GOOGL,2004-12-03,4.5,4.53,4.44,4.51
GOOGL,2004-12-06,4.48,4.52,4.4,4.41
GOOGL,2004-12-07,4.4,4.41,4.27,4.29
GOOGL,2004-12-08,4.26,4.35,4.22,4.25
GOOGL,2004-12-09,4.26,4.34,4.22,4.34
GOOGL,2004-12-10,4.34,4.38,4.29,4.3
GOOGL,2004-12-13,4.31,4.33,4.24,4.27
GOOGL,2004-12-14,4.28,4.47,4.24,4.47
GOOGL,2004-12-15,4.45,4.52,4.42,4.5
GOOGL,2004-12-16,4.43,4.52,4.4,4.42
GOOGL,2004-12-17,4.42,4.52,4.42,4.51
GOOGL,2004-12-20,4.55,4.72,4.55,4.63
GOOGL,2004-12-21,4.66,4.7,4.59,4.6
GOOGL,2004-12-22,4.6,4.68,4.58,4.66
GOOGL,2004-12-23,4.69,4.72,4.65,4.7
GOOGL,2004-12-27,4.73,4.84,4.73,4.8
GOOGL,2004-12-28,4.81,4.84,4.78,4.82
GOOGL,2004-12-29,4.8,4.84,4.8,4.83
GOOGL,2004-12-30,4.83,4.96,4.8,4.94
GOOGL,2004-12-31,4.99,5.0,4.82,4.82
GOOGL,2005-01-03,4.94,5.1,4.89,5.07
GOOGL,2005-01-04,5.04,5.08,4.84,4.87
GOOGL,2005-01-05,4.84,4.93,4.81,4.84
GOOGL,2005-01-06,4.88,4.9,4.7,4.72
GOOGL,2005-01-07,4.77,4.86,4.72,4.85
GOOGL,2005-01-10,4.87,4.96,4.8,4.88
GOOGL,2005-01-11,4.9,4.95,4.83,4.84
GOOGL,2005-01-12,4.86,4.9,4.77,4.89
GOOGL,2005-01-13,4.89,4.94,4.86,4.89
GOOGL,2005-01-14,4.9,5.01,4.86,5.0
GOOGL,2005-01-18,5.03,5.13,4.97,5.1
GOOGL,2005-01-19,5.12,5.14,4.92,4.94
GOOGL,2005-01-20,4.82,4.91,4.8,4.85
GOOGL,2005-01-21,4.87,4.89,4.71,4.71
GOOGL,2005-01-24,4.72,4.74,4.51,4.52
GOOGL,2005-01-25,4.55,4.56,4.41,4.43
GOOGL,2005-01-26,4.49,4.74,4.48,4.74
GOOGL,2005-01-27,4.72,4.73,4.63,4.71
GOOGL,2005-01-28,4.76,4.87,4.66,4.76
GOOGL,2005-01-31,4.85,4.91,4.8,4.9
GOOGL,2005-02-01,4.86,4.92,4.77,4.8
GOOGL,2005-02-02,5.39,5.43,5.1,5.15
GOOGL,2005-02-03,5.15,5.34,5.15,5.28
GOOGL,2005-02-04,5.17,5.2,5.07,5.11
GOOGL,2005-02-07,5.14,5.17,4.89,4.91
GOOGL,2005-02-08,4.93,5.01,4.87,4.97
GOOGL,2005-02-09,5.02,5.05,4.74,4.79
GOOGL,2005-02-10,4.8,4.81,4.64,4.7
GOOGL,2005-02-11,4.67,4.81,4.66,4.69
GOOGL,2005-02-14,4.58,4.83,4.53,4.83
GOOGL,2005-02-15,4.84,5.0,4.83,4.89
GOOGL,2005-02-16,4.87,4.99,4.86,4.97
GOOGL,2005-02-17,4.95,5.0,4.93,4.95
GOOGL,2005-02-18,4.97,4.98,4.92,4.95
GOOGL,2005-02-22,4.92,4.98,4.76,4.79
GOOGL,2005-02-23,4.84,4.87,4.72,4.85
GOOGL,2005-02-24,4.59,4.75,4.56,4.73
GOOGL,2005-02-25,4.73,4.75,4.64,4.65
GOOGL,2005-02-28,4.65,4.75,4.65,4.7
GOOGL,2005-03-01,4.74,4.75,4.55,4.66
GOOGL,2005-03-02,4.65,4.7,4.61,4.63
GOOGL,2005-03-03,4.66,4.7,4.61,4.68
GOOGL,2005-03-04,4.67,4.69,4.63,4.65
GOOGL,2005-03-07,4.7,4.74,4.68,4.72
GOOGL,2005-03-08,4.73,4.75,4.63,4.63
GOOGL,2005-03-09,4.61,4.62,4.51,4.54
GOOGL,2005-03-10,4.53,4.53,4.44,4.5
GOOGL,2005-03-11,4.52,4.53,4.43,4.45
GOOGL,2005-03-14,4.46,4.46,4.32,4.38
GOOGL,2005-03-15,4.39,4.5,4.36,4.47
GOOGL,2005-03-16,4.42,4.47,4.38,4.39
GOOGL,2005-03-17,4.43,4.5,4.4,4.49
GOOGL,2005-03-18,4.47,4.51,4.46,4.51
GOOGL,2005-03-21,4.49,4.56,4.44,4.53
GOOGL,2005-03-22,4.53,4.55,4.45,4.47
GOOGL,2005-03-23,4.45,4.51,4.45,4.48
GOOGL,2005-03-24,4.52,4.53,4.48,4.49
GOOGL,2005-03-28,4.55,4.62,4.53,4.54
GOOGL,2005-03-29,4.53,4.59,4.46,4.49
GOOGL,2005-03-30,4.52,4.54,4.49,4.52
GOOGL,2005-03-31,4.45,4.54,4.45,4.52
GOOGL,2005-04-01,4.55,4.58,4.5,4.51
GOOGL,2005-04-04,4.5,4.64,4.5,4.64
GOOGL,2005-04-05,4.7,4.76,4.69,4.72
GOOGL,2005-04-06,4.74,4.75,4.69,4.74
GOOGL,2005-04-07,4.72,4.87,4.72,4.85
GOOGL,2005-04-08,4.85,4.88,4.79,4.81
GOOGL,2005-04-11,4.83,4.87,4.81,4.84
GOOGL,2005-04-12,4.83,4.87,4.74,4.85
GOOGL,2005-04-13,4.84,4.86,4.75,4.83
GOOGL,2005-04-14,4.84,4.86,4.76,4.79
GOOGL,2005-04-15,4.76,4.76,4.62,4.63
GOOGL,2005-04-18,4.62,4.7,4.59,4.68
GOOGL,2005-04-19,4.74,4.8,4.71,4.79
GOOGL,2005-04-20,4.97,5.02,4.9,4.96
GOOGL,2005-04-21,5.02,5.13,4.99,5.11
GOOGL,2005-04-22,5.58,5.61,5.36,5.4
GOOGL,2005-04-25,5.45,5.62,5.44,5.59
GOOGL,2005-04-26,5.51,5.56,5.46,5.47
GOOGL,2005-04-27,5.46,5.53,5.42,5.5
GOOGL,2005-04-28,5.49,5.56,5.45,5.49
GOOGL,2005-04-29,5.55,5.56,5.45,5.51
GOOGL,2005-05-02,5.56,5.6,5.51,5.56
GOOGL,2005-05-03,5.55,5.71,5.54,5.66
GOOGL,2005-05-04,5.69,5.75,5.68,5.72
GOOGL,2005-05-05,5.72,5.72,5.65,5.68
GOOGL,2005-05-06,5.72,5.74,5.67,5.71
GOOGL,2005-05-09,5.71,5.72,5.64,5.66
GOOGL,2005-05-10,5.64,5.7,5.62,5.7
GOOGL,2005-05-11,5.73,5.81,5.7,5.79
GOOGL,2005-05-12,5.78,5.81,5.71,5.72
GOOGL,2005-05-13,5.74,5.78,5.69,5.74
GOOGL,2005-05-16,5.75,5.8,5.72,5.78
GOOGL,2005-05-17,5.77,5.84,5.76,5.83
GOOGL,2005-05-18,5.85,6.01,5.84,5.98
GOOGL,2005-05-19,6.01,6.04,5.96,5.99
GOOGL,2005-05-20,6.04,6.05,6.0,6.05
GOOGL,2005-05-23,6.09,6.46,6.07,6.39
GOOGL,2005-05-24,6.43,6.64,6.34,6.41
GOOGL,2005-05-25,6.32,6.53,6.27,6.53
GOOGL,2005-05-26,6.53,6.6,6.46,6.49
GOOGL,2005-05-27,6.52,6.66,6.49,6.66
GOOGL,2005-05-31,6.74,6.97,6.74,6.94
GOOGL,2005-06-01,7.09,7.33,7.06,7.21
GOOGL,2005-06-02,7.23,7.25,7.12,7.2
GOOGL,2005-06-03,7.18,7.24,6.94,7.01
GOOGL,2005-06-06,7.07,7.35,7.05,7.28
GOOGL,2005-06-07,7.43,7.5,7.26,7.34
GOOGL,2005-06-08,7.33,7.34,6.96,7.0
GOOGL,2005-06-09,7.13,7.22,7.02,7.16
GOOGL,2005-06-10,7.18,7.19,7.01,7.07
GOOGL,2005-06-13,7.0,7.11,6.92,7.08
GOOGL,2005-06-14,6.97,7.04,6.95,6.97
GOOGL,2005-06-15,6.88,6.94,6.69,6.88
GOOGL,2005-06-16,6.86,6.96,6.83,6.94
GOOGL,2005-06-17,6.98,7.01,6.9,7.01
GOOGL,2005-06-20,6.91,7.2,6.8,7.17
GOOGL,2005-06-21,7.21,7.26,7.13,7.2
GOOGL,2005-06-22,7.25,7.32,7.22,7.24
GOOGL,2005-06-23,7.21,7.38,7.17,7.25
GOOGL,2005-06-24,7.28,7.46,7.25,7.44
GOOGL,2005-06-27,7.48,7.62,7.35,7.61
GOOGL,2005-06-28,7.66,7.74,7.56,7.56
