ticker,date,open,high,low,close
TSLA,2010-06-28,1.13333,1.13333,1.13333,1.13333
TSLA,2010-06-29,1.27,1.67,1.17,1.59
TSLA,2010-06-30,1.72,2.03,1.55,1.59
TSLA,2010-07-01,1.67,1.73,1.35,1.46
TSLA,2010-07-02,1.53,1.54,1.25,1.28
TSLA,2010-07-06,1.33,1.33,1.06,1.07
TSLA,2010-07-07,1.09,1.11,1.0,1.05
TSLA,2010-07-08,1.08,1.17,1.04,1.16
TSLA,2010-07-09,1.17,1.19,1.1,1.16
TSLA,2010-07-12,1.2,1.2,1.13,1.14
TSLA,2010-07-13,1.16,1.24,1.13,1.21
TSLA,2010-07-14,1.2,1.34,1.18,1.32
TSLA,2010-07-15,1.33,1.43,1.27,1.33
TSLA,2010-07-16,1.38,1.42,1.34,1.38
TSLA,2010-07-19,1.42,1.48,1.39,1.46
TSLA,2010-07-20,1.46,1.46,1.34,1.35
TSLA,2010-07-21,1.38,1.39,1.3,1.35
TSLA,2010-07-22,1.37,1.42,1.36,1.4
TSLA,2010-07-23,1.41,1.44,1.4,1.42
TSLA,2010-07-26,1.43,1.43,1.35,1.4
TSLA,2010-07-27,1.39,1.41,1.35,1.37
TSLA,2010-07-28,1.37,1.39,1.37,1.38
TSLA,2010-07-29,1.38,1.39,1.33,1.36
TSLA,2010-07-30,1.35,1.36,1.3,1.33
TSLA,2010-08-02,1.37,1.4,1.36,1.39
TSLA,2010-08-03,1.4,1.46,1.39,1.46
TSLA,2010-08-04,1.46,1.48,1.39,1.42
TSLA,2010-08-05,1.44,1.44,1.34,1.36
TSLA,2010-08-06,1.34,1.34,1.3,1.31
TSLA,2010-08-09,1.33,1.33,1.3,1.31
TSLA,2010-08-10,1.31,1.31,1.25,1.27
TSLA,2010-08-11,1.25,1.26,1.19,1.19
TSLA,2010-08-12,1.19,1.19,1.16,1.17
TSLA,2010-08-13,1.21,1.23,1.18,1.22
TSLA,2010-08-16,1.23,1.25,1.22,1.25
TSLA,2010-08-17,1.26,1.29,1.25,1.28
TSLA,2010-08-18,1.31,1.31,1.24,1.25
TSLA,2010-08-19,1.24,1.28,1.22,1.25
TSLA,2010-08-20,1.24,1.27,1.23,1.27
TSLA,2010-08-23,1.27,1.36,1.27,1.34
TSLA,2010-08-24,1.28,1.31,1.26,1.28
TSLA,2010-08-25,1.28,1.33,1.24,1.33
TSLA,2010-08-26,1.33,1.35,1.31,1.32
TSLA,2010-08-27,1.32,1.32,1.3,1.31
TSLA,2010-08-30,1.31,1.35,1.31,1.32
TSLA,2010-08-31,1.31,1.32,1.29,1.3
TSLA,2010-09-01,1.31,1.38,1.31,1.36
TSLA,2010-09-02,1.36,1.42,1.35,1.4
TSLA,2010-09-03,1.39,1.42,1.38,1.4
TSLA,2010-09-07,1.37,1.4,1.37,1.37
TSLA,2010-09-08,1.38,1.4,1.37,1.39
TSLA,2010-09-09,1.4,1.4,1.38,1.38
TSLA,2010-09-10,1.38,1.4,1.32,1.34
TSLA,2010-09-13,1.39,1.39,1.37,1.38
TSLA,2010-09-14,1.37,1.44,1.37,1.41
TSLA,2010-09-15,1.4,1.47,1.39,1.47
TSLA,2010-09-16,1.48,1.54,1.39,1.4
TSLA,2010-09-17,1.4,1.42,1.32,1.35
TSLA,2010-09-20,1.38,1.42,1.34,1.4
TSLA,2010-09-21,1.39,1.44,1.38,1.38
TSLA,2010-09-22,1.39,1.4,1.32,1.32
TSLA,2010-09-23,1.33,1.34,1.3,1.3
TSLA,2010-09-24,1.33,1.35,1.31,1.34
TSLA,2010-09-27,1.36,1.39,1.34,1.37
TSLA,2010-09-28,1.4,1.43,1.38,1.43
TSLA,2010-09-29,1.41,1.47,1.41,1.47
TSLA,2010-09-30,1.47,1.48,1.35,1.36
TSLA,2010-10-01,1.38,1.38,1.35,1.37
TSLA,2010-10-04,1.36,1.41,1.35,1.4
TSLA,2010-10-05,1.41,1.42,1.4,1.41
TSLA,2010-10-06,1.4,1.42,1.35,1.36
TSLA,2010-10-07,1.37,1.38,1.36,1.36
TSLA,2010-10-08,1.36,1.39,1.36,1.36
TSLA,2010-10-11,1.36,1.38,1.34,1.35
TSLA,2010-10-12,1.35,1.35,1.34,1.35
TSLA,2010-10-13,1.38,1.39,1.36,1.37
TSLA,2010-10-14,1.4,1.4,1.36,1.38
TSLA,2010-10-15,1.39,1.39,1.35,1.37
TSLA,2010-10-18,1.37,1.38,1.35,1.35
TSLA,2010-10-19,1.35,1.36,1.33,1.34
TSLA,2010-10-20,1.34,1.38,1.34,1.38
TSLA,2010-10-21,1.37,1.4,1.36,1.38
TSLA,2010-10-22,1.38,1.4,1.37,1.38
